FirstName,LastName,StudentID,Citizenship,CourseEnrolled,YearLevel,CWA,Status,CreditsEarned
Lilyan,Gosenell,23458809,Local,BTech,4,71.6,PT,215
Kerrin,Jurisic,23342980,Local,Mechatronics,1,4.4,FT,96
Johann,Klehn,22768593,International,BTech,3,66.6,PT,381
Lilla,Beetlestone,21908444,International,Cyber Security,4,99.2,FT,380
Bourke,Bensusan,23990564,Local,Cybersecurity,1,82.6,PT,101
Ulysses,Reddish,23657883,Local,Applied Geology,3,14.4,PT,477
Vernen,Offill,23768844,International,Energy Engineering,3,75.1,PT,7
Willard,Passingham,23387825,Local,BTech,4,90.5,PT,422
Hadria,Negri,21747564,International,Civil Engineering,1,31.1,PT,508
Susette,Chucks,27453666,Local,Applied Geology,2,26.6,FT,401
Bhavisha,Gaikwad,23628812,International,Software Engineering,1,97.0,FT,235
Eric,Sohn,23563423,International,Chemical Engineering,2,90.0,PT,355
Wonwoo,Jeon,23557112,Internationl,Cybersecurity,3,89.0,PT,553
Seokmin,Kim,23567809,International,Chemical Engineering,2,78.0,PT,444
Lily,Doe,23445687,Local,BTech,4,78.0,PT,77
John,Doe,23628812,International,BTech,3,78.0,PT,433
Billy,Jean,23445566,International,Media,2,50.0,FT,200
Jean,Billie,23446677,Local,Business,1,90.0,PT,100
Arlo,Reagan,23097244,Local,Mechanical Engineering,3,96.0,PT,300
Remi,Johnson,23664533,International,Electrical Engineering,2,84.0,PT,200
Jigisha,Gaikwad,12345678,Local,Finance,2,98.0,FT,222
